Timestamp, percent_filled
2/15/2023 13:58,0.78
2/15/2023 13:58,0.77
2/15/2023 14:20,0.77
2/15/2023 14:22,0.78
2/15/2023 14:23,0.78
2/15/2023 14:23,0.75
2/15/2023 14:26,0.8
2/15/2023 14:28,0.78
2/15/2023 14:28,0.8
2/15/2023 14:31,0.82
2/15/2023 14:33,0.84
2/15/2023 14:33,0.85
2/15/2023 14:36,0.88
2/15/2023 14:38,0.9
2/15/2023 15:27,0.94
2/15/2023 15:28,0.97
2/15/2023 15:28,1
2/15/2023 15:31,1.01
2/15/2023 15:33,1.02
2/15/2023 15:33,1
2/15/2023 15:36,1.01
2/15/2023 15:38,1.02
2/15/2023 15:38,1
2/15/2023 15:41,1.02
2/15/2023 15:43,1
2/15/2023 15:43,1.04
2/15/2023 16:26,1
2/15/2023 16:28,1
2/15/2023 16:28,0.98
2/15/2023 16:31,1.03
2/15/2023 16:33,1.04
2/15/2023 16:33,1.02
2/15/2023 16:36,1.02
2/15/2023 16:38,1.02
2/15/2023 16:38,1.02
2/15/2023 16:41,1.03
2/15/2023 16:43,1.04
2/15/2023 16:43,1.04
2/15/2023 16:46,1.04
2/15/2023 16:48,1.02
2/15/2023 16:48,1.04
2/15/2023 16:51,1.02
2/15/2023 16:53,1.04
2/15/2023 16:53,1.04
2/15/2023 16:56,1.01
2/15/2023 16:58,1.02
2/15/2023 16:58,1.02
2/15/2023 17:01,1.04
2/15/2023 17:03,1.02
2/15/2023 17:03,1.02
2/15/2023 17:06,1.03
2/15/2023 17:08,1.04
2/15/2023 17:08,1.04
2/15/2023 17:11,1.04
2/15/2023 17:13,1.04
2/15/2023 17:13,1.04
2/15/2023 17:16,1.02
2/15/2023 17:18,1.02
2/15/2023 17:18,1.02
2/15/2023 17:21,1.02
2/15/2023 17:23,1.02
2/15/2023 17:23,1.02
2/15/2023 17:26,1
2/15/2023 17:28,1.01
2/15/2023 17:28,1
2/15/2023 17:31,1
2/15/2023 20:08,1.01
2/15/2023 20:11,1.02
2/15/2023 20:13,1.01
2/15/2023 20:13,1
2/15/2023 20:16,1.03
2/15/2023 20:18,1.04
2/15/2023 20:18,1.02
2/15/2023 20:21,1.02
2/15/2023 20:23,1.02
2/15/2023 20:23,1.02
2/15/2023 20:28,1.02
2/15/2023 20:28,1.02
2/15/2023 20:31,1.01
2/15/2023 20:33,1
2/15/2023 20:33,1
2/15/2023 20:36,1
2/15/2023 20:38,1
2/15/2023 20:38,1
2/15/2023 20:41,1.02
2/15/2023 20:43,1.02
2/15/2023 20:43,1.02
2/15/2023 20:46,1.01
2/15/2023 21:06,1
2/15/2023 21:08,1
2/15/2023 21:08,1
2/15/2023 21:11,1
2/15/2023 21:13,1
2/15/2023 21:13,1
2/15/2023 21:16,1
2/15/2023 21:18,1.01
2/15/2023 21:18,1.01
2/15/2023 21:21,1.02
2/15/2023 21:23,1.02
2/15/2023 21:23,1.03
2/15/2023 21:26,1.04
2/15/2023 21:28,1.04
2/15/2023 21:28,1.04
2/15/2023 21:31,1.04
2/15/2023 21:33,1.04
2/15/2023 21:33,1.04
2/15/2023 21:36,1.05
2/15/2023 21:38,1.03
2/15/2023 21:38,1.04
2/15/2023 21:41,1.03
2/15/2023 21:43,1.03
2/15/2023 21:43,1.04
2/15/2023 21:46,1.04
2/15/2023 21:48,1.04
2/15/2023 21:48,1.04
2/15/2023 21:51,1.04
2/15/2023 21:53,1.03
2/15/2023 21:53,1.04
2/15/2023 22:06,1.05
2/15/2023 22:08,1.05
2/15/2023 22:08,1.05
2/15/2023 22:31,0.94
2/15/2023 22:33,0.94
2/15/2023 22:33,0.92
2/15/2023 22:36,0.92
2/15/2023 22:38,0.86
2/15/2023 22:38,0.85
2/15/2023 22:41,0.78
2/15/2023 22:43,0.74
2/15/2023 22:43,0.73
2/15/2023 22:46,0.68
2/15/2023 22:48,0.58
2/15/2023 22:48,0.57
2/15/2023 22:51,0.47
2/15/2023 22:53,0.47
2/15/2023 22:53,0.45
2/15/2023 22:56,0.39
2/15/2023 22:58,0.29
2/15/2023 22:58,0.25
2/15/2023 23:01,0.0002
2/15/2023 23:03,0.0001
2/15/2023 23:03,0.0001
2/15/2023 23:06,0.0001
2/15/2023 23:08,0.0001
2/15/2023 23:08,0.0001
2/15/2023 23:11,0
2/15/2023 23:13,0.0001
2/15/2023 23:13,0.0001
2/15/2023 23:16,0.0002
2/15/2023 23:18,0.0002
2/15/2023 23:18,0.0002
2/15/2023 23:44,0
2/16/2023 11:15,0.83
2/16/2023 11:16,0.84
2/16/2023 11:18,0.83
2/16/2023 11:18,0.84
2/16/2023 11:20,0.86
2/16/2023 11:21,0.87
2/16/2023 11:23,0.88
2/16/2023 11:23,0.87
2/16/2023 11:25,0.89
2/16/2023 11:26,0.9
2/16/2023 11:28,0.92
2/16/2023 11:28,0.94
2/16/2023 11:30,0.96
2/16/2023 11:31,0.95
2/16/2023 11:33,0.98
2/16/2023 11:33,0.98
2/16/2023 11:35,0.96
2/16/2023 11:36,0.94
2/16/2023 11:38,0.93
2/16/2023 11:38,0.96
2/16/2023 12:01,0.93
2/16/2023 12:03,0.93
2/16/2023 12:03,0.94
2/16/2023 12:05,0.95
2/16/2023 12:06,0.94
2/16/2023 12:08,0.97
2/16/2023 12:08,0.94
2/16/2023 12:10,0.92
2/16/2023 12:12,0.91
2/16/2023 12:13,0.89
2/16/2023 12:13,0.89
2/16/2023 12:16,0.92
2/16/2023 12:16,0.92
2/16/2023 12:18,0.92
2/16/2023 12:20,0.91
2/16/2023 12:21,0.87
2/16/2023 12:23,0.84
2/16/2023 12:23,0.84
2/16/2023 12:25,0.82
2/16/2023 12:26,0.82
2/16/2023 12:28,0.84
2/16/2023 12:28,0.79
2/16/2023 12:30,0.8
2/16/2023 12:31,0.78
2/16/2023 12:33,0.79
2/16/2023 12:33,0.8
2/16/2023 12:35,0.75
2/16/2023 12:36,0.74
2/16/2023 12:38,0.73
2/16/2023 12:38,0.74
2/16/2023 12:40,0.8
2/16/2023 12:41,0.8
2/16/2023 12:43,0.8
2/16/2023 12:43,0.8
2/16/2023 12:45,0.8
2/16/2023 12:46,0.78
2/16/2023 12:48,0.76
2/16/2023 12:48,0.77
2/16/2023 12:50,0.79
2/16/2023 12:51,0.79
2/16/2023 12:53,0.82
2/16/2023 12:53,0.8
2/16/2023 12:55,0.8
2/16/2023 12:56,0.81
2/16/2023 12:58,0.79
2/16/2023 12:58,0.78
2/16/2023 13:00,0.79
2/16/2023 13:01,0.84
2/16/2023 13:03,0.84
2/16/2023 13:03,0.84
2/16/2023 13:05,0.82
2/16/2023 13:06,0.82
2/16/2023 13:08,0.8
2/16/2023 13:08,0.82
2/16/2023 13:10,0.82
2/16/2023 13:11,0.83
2/16/2023 13:13,0.86
2/16/2023 13:13,0.86
2/16/2023 13:15,0.88
2/16/2023 13:16,0.88
2/16/2023 13:18,0.91
2/16/2023 13:18,0.91
